loan_id,reporting_date,product_type,origination_date,original_amount,outstanding_balance,credit_score_origination,credit_score_current,days_past_due,interest_rate,industry_sector,geography,pd_12m,pd_lifetime,lgd,ifrs9_stage,ecl_amount,ecl_rate,credit_band,vintage_year
LN0004198,2024-12-31,Mortgage,2022-02-28,302943.44,121062.77,492,538,60,5.92,N/A,Central,0.28,0.84,0.2716,2,27619.74,22.8144,Very Poor (<600),2022
LN0002740,2024-12-31,Mortgage,2023-06-30,271455.14,182315.55,660,646,180,4.86,N/A,West,0.28,0.84,0.1748,3,26769.76,14.6832,Poor (600-649),2023
LN0003711,2024-12-31,Mortgage,2023-04-04,212112.51,132523.93,584,540,90,4.88,N/A,South,0.28,0.84,0.2282,2,25403.25,19.1688,Very Poor (<600),2023
LN0004506,2024-12-31,Mortgage,2022-02-10,233268.28,96127.59,587,553,180,5.63,N/A,East,0.56,1.0,0.2604,3,25031.62,26.04,Very Poor (<600),2022
LN0000291,2024-12-31,Mortgage,2022-04-27,315053.83,134410.38,648,559,90,5.48,N/A,North,0.28,0.84,0.2101,2,23721.28,17.6484,Very Poor (<600),2022
LN0002300,2024-12-31,Mortgage,2020-02-24,617436.57,179902.23,610,605,180,4.75,N/A,East,0.28,0.84,0.1541,3,23287.26,12.9444,Poor (600-649),2020
LN0003013,2024-12-31,Mortgage,2022-03-09,489817.93,209019.29,632,633,90,5.28,N/A,East,0.14,0.42,0.2638,2,23158.5,11.0796,Poor (600-649),2022
LN0004851,2024-12-31,SME Loan,2021-12-23,293611.46,110887.07,496,487,0,8.52,Technology,North,0.13,0.39,0.5153,2,22284.64,20.0967,Very Poor (<600),2021
LN0000886,2024-12-31,Mortgage,2023-05-29,272364.93,181045.92,610,609,90,4.88,N/A,Central,0.14,0.42,0.2746,2,20880.39,11.5332,Poor (600-649),2023
LN0001278,2024-12-31,SME Loan,2023-08-22,165163.06,115949.21,705,702,180,7.39,Retail,North,0.104,0.312,0.561,3,20294.82,17.5032,Good (700-749),2023
LN0003728,2024-12-31,Mortgage,2022-08-14,206111.61,99945.24,572,574,60,4.94,N/A,East,0.28,0.84,0.2264,2,19007.19,19.0176,Very Poor (<600),2022
LN0001181,2024-12-31,SME Loan,2022-09-15,180255.01,82531.2,519,505,0,8.65,Technology,North,0.13,0.39,0.5839,2,18794.09,22.7721,Very Poor (<600),2022
LN0002416,2024-12-31,SME Loan,2022-12-02,201868.99,109743.83,579,543,0,7.87,Manufacturing,Central,0.13,0.39,0.4387,2,18776.4,17.1093,Very Poor (<600),2022
LN0004365,2024-12-31,Mortgage,2021-03-02,552479.55,157879.47,520,533,30,6.07,N/A,West,0.14,0.42,0.2805,2,18599.78,11.781,Very Poor (<600),2021
LN0000058,2024-12-31,Mortgage,2023-06-02,127232.18,74396.23,599,609,180,5.58,N/A,Central,0.28,0.84,0.2938,3,18360.39,24.6792,Poor (600-649),2023
LN0003852,2024-12-31,Mortgage,2022-09-03,149347.79,75531.51,693,639,180,4.39,N/A,East,0.28,0.84,0.2877,3,18253.55,24.1668,Poor (600-649),2022
LN0003088,2024-12-31,Mortgage,2020-07-23,241294.67,70311.67,548,553,90,5.86,N/A,North,0.28,0.84,0.2838,2,16761.74,23.8392,Very Poor (<600),2020
LN0003383,2024-12-31,Mortgage,2020-05-26,298891.04,76942.4,612,583,60,5.46,N/A,South,0.28,0.84,0.2568,2,16597.4,21.5712,Very Poor (<600),2020
LN0004264,2024-12-31,Personal Loan,2023-10-03,51014.72,33673.02,554,505,30,10.36,N/A,North,0.24,0.72,0.6823,2,16542.07,49.1256,Very Poor (<600),2023
LN0001055,2024-12-31,SME Loan,2023-11-07,162200.37,119691.92,678,731,180,8.18,Manufacturing,East,0.104,0.312,0.43,3,16057.87,13.416,Good (700-749),2023
LN0002987,2024-12-31,Mortgage,2023-10-20,160552.14,111855.5,621,599,90,5.1,N/A,North,0.28,0.84,0.1705,2,16019.94,14.322,Very Poor (<600),2023
LN0000367,2024-12-31,SME Loan,2023-06-01,205877.03,135843.02,654,644,0,8.31,Healthcare,Central,0.065,0.195,0.5994,2,15877.74,11.6883,Poor (600-649),2023
LN0000447,2024-12-31,SME Loan,2022-12-06,149437.08,78965.0,544,585,0,8.82,Technology,North,0.13,0.39,0.5093,2,15684.58,19.8627,Very Poor (<600),2022
LN0003915,2024-12-31,SME Loan,2022-05-05,226877.24,89216.02,557,556,0,8.04,Healthcare,North,0.13,0.39,0.4476,2,15573.91,17.4564,Very Poor (<600),2022
LN0004499,2024-12-31,Mortgage,2023-06-29,212540.17,127029.83,694,667,180,4.44,N/A,East,0.14,0.42,0.2864,3,15280.16,12.0288,Fair (650-699),2023
LN0002963,2024-12-31,Mortgage,2022-04-12,314106.05,127825.16,534,590,30,6.07,N/A,North,0.14,0.42,0.2836,2,15225.51,11.9112,Very Poor (<600),2022
LN0002831,2024-12-31,Personal Loan,2023-10-31,40486.35,28523.35,520,486,120,10.1,N/A,West,0.96,1.0,0.5313,3,15154.46,53.13,Very Poor (<600),2023
LN0004568,2024-12-31,Mortgage,2022-01-15,376881.69,145328.36,558,567,30,5.1,N/A,West,0.14,0.42,0.2423,2,14789.49,10.1766,Very Poor (<600),2022
LN0004005,2024-12-31,Mortgage,2021-04-24,207867.89,58071.28,622,598,60,4.84,N/A,West,0.28,0.84,0.2837,2,13838.85,23.8308,Very Poor (<600),2021
LN0004792,2024-12-31,SME Loan,2023-07-05,106432.63,68918.08,529,516,0,8.9,Construction,South,0.13,0.39,0.4975,2,13371.83,19.4025,Very Poor (<600),2023
LN0001719,2024-12-31,SME Loan,2020-10-09,254397.63,70492.82,602,599,0,8.26,Technology,South,0.13,0.39,0.4803,2,13204.5,18.7317,Very Poor (<600),2020
LN0000086,2024-12-31,Mortgage,2021-10-20,272873.16,83137.95,488,519,120,5.62,N/A,West,0.56,1.0,0.157,3,13052.66,15.7,Very Poor (<600),2021
LN0000532,2024-12-31,SME Loan,2022-06-07,293208.42,120389.31,618,632,0,7.96,Services,South,0.065,0.195,0.544,2,12770.9,10.608,Poor (600-649),2022
LN0003914,2024-12-31,SME Loan,2023-01-31,126904.95,77495.22,556,560,0,8.12,Services,North,0.13,0.39,0.4159,2,12569.8,16.2201,Very Poor (<600),2023
LN0001266,2024-12-31,Mortgage,2023-07-19,437545.57,307535.11,688,728,180,4.6,N/A,North,0.056,0.168,0.2424,3,12523.81,4.0723,Good (700-749),2023
LN0002067,2024-12-31,Mortgage,2020-10-02,365690.12,94382.84,692,691,120,5.15,N/A,North,0.14,0.42,0.2993,3,11864.49,12.5706,Fair (650-699),2020
LN0003507,2024-12-31,SME Loan,2021-01-06,209841.04,60762.42,561,585,0,8.3,Retail,South,0.13,0.39,0.4999,2,11846.3,19.4961,Very Poor (<600),2021
LN0003897,2024-12-31,Mortgage,2020-05-22,210326.51,53923.11,662,604,120,4.88,N/A,South,0.28,0.84,0.2599,3,11772.28,21.8316,Poor (600-649),2020
LN0003697,2024-12-31,SME Loan,2023-02-16,51778.15,28389.12,633,614,120,7.8,Retail,West,0.52,1.0,0.4095,3,11625.34,40.95,Poor (600-649),2023
LN0002695,2024-12-31,SME Loan,2023-08-11,98561.24,62098.35,616,589,0,7.75,Services,West,0.13,0.39,0.4578,2,11087.16,17.8542,Very Poor (<600),2023
LN0002433,2024-12-31,SME Loan,2022-11-06,93132.62,50510.04,627,553,0,8.29,Construction,West,0.13,0.39,0.5515,2,10863.95,21.5085,Very Poor (<600),2022
LN0004891,2024-12-31,Mortgage,2022-05-04,205113.49,87831.97,578,604,60,5.53,N/A,South,0.14,0.42,0.2935,2,10827.05,12.327,Poor (600-649),2022
LN0003526,2024-12-31,Mortgage,2020-07-28,328160.5,92951.16,591,604,60,5.59,N/A,South,0.14,0.42,0.2766,2,10798.32,11.6172,Poor (600-649),2020
LN0000720,2024-12-31,Auto Loan,2022-10-20,57886.6,31142.78,634,618,120,7.02,N/A,Central,0.36,1.0,0.3436,3,10700.66,34.36,Poor (600-649),2022
LN0000823,2024-12-31,Mortgage,2022-04-05,179841.7,77125.79,615,611,180,5.53,N/A,North,0.28,0.84,0.165,3,10689.63,13.86,Poor (600-649),2022
LN0002964,2024-12-31,SME Loan,2022-10-25,114747.34,61230.32,662,691,60,8.18,Retail,North,0.13,0.39,0.4344,2,10373.4,16.9416,Fair (650-699),2022
LN0000974,2024-12-31,Mortgage,2020-12-31,176351.81,48553.83,546,525,120,5.23,N/A,Central,0.56,1.0,0.213,3,10341.97,21.3,Very Poor (<600),2020
LN0003238,2024-12-31,SME Loan,2021-09-22,205431.55,65495.93,564,531,0,8.49,Construction,South,0.13,0.39,0.4019,2,10265.9,15.6741,Very Poor (<600),2021
LN0003224,2024-12-31,Mortgage,2023-06-08,544168.69,355022.76,702,719,120,4.69,N/A,South,0.056,0.168,0.1688,3,10067.88,2.8358,Good (700-749),2023
LN0004272,2024-12-31,SME Loan,2020-09-04,115507.88,30291.94,576,584,30,8.38,Technology,South,0.26,0.78,0.4229,2,9992.16,32.9862,Very Poor (<600),2020
LN0001269,2024-12-31,Auto Loan,2022-12-31,51063.02,27923.68,589,595,60,7.02,N/A,South,0.36,1.0,0.3556,2,9929.66,35.56,Very Poor (<600),2022
LN0000134,2024-12-31,Mortgage,2021-03-21,204474.09,53095.83,582,546,90,5.73,N/A,East,0.28,0.84,0.2226,2,9928.07,18.6984,Very Poor (<600),2021
LN0002734,2024-12-31,SME Loan,2023-05-08,82873.81,47575.66,519,542,0,8.57,Healthcare,East,0.13,0.39,0.5289,2,9813.48,20.6271,Very Poor (<600),2023
LN0004141,2024-12-31,Mortgage,2023-07-23,222786.2,145777.78,692,692,120,5.0,N/A,Central,0.14,0.42,0.1554,3,9514.62,6.5268,Fair (650-699),2023
LN0001122,2024-12-31,SME Loan,2020-01-06,329770.52,85809.99,647,604,0,7.93,Healthcare,South,0.065,0.195,0.5545,2,9278.42,10.8128,Poor (600-649),2020
LN0000155,2024-12-31,SME Loan,2023-05-18,63236.91,40882.42,655,595,0,7.72,Manufacturing,North,0.13,0.39,0.5797,2,9242.82,22.6083,Very Poor (<600),2023
LN0001657,2024-12-31,Personal Loan,2023-11-04,62953.03,47915.45,591,575,0,9.78,N/A,South,0.12,0.36,0.51,2,8797.28,18.36,Very Poor (<600),2023
LN0002070,2024-12-31,Mortgage,2023-07-04,506169.99,345363.45,735,705,120,4.53,N/A,West,0.056,0.168,0.1512,3,8772.78,2.5402,Good (700-749),2023
LN0000080,2024-12-31,Mortgage,2020-05-09,329986.86,85175.96,728,674,120,4.52,N/A,South,0.14,0.42,0.2398,3,8578.58,10.0716,Fair (650-699),2020
LN0000180,2024-12-31,Mortgage,2023-06-06,449247.8,269414.19,743,745,120,5.0,N/A,East,0.056,0.168,0.1786,3,8083.72,3.0005,Good (700-749),2023
LN0000401,2024-12-31,Mortgage,2020-05-07,287517.56,75734.29,609,593,30,4.73,N/A,West,0.14,0.42,0.2521,2,8018.9,10.5882,Very Poor (<600),2020
LN0004479,2024-12-31,Personal Loan,2023-04-24,52124.74,33722.52,614,573,0,10.07,N/A,West,0.12,0.36,0.6537,2,7935.99,23.5332,Very Poor (<600),2023
LN0001712,2024-12-31,Mortgage,2020-07-20,291946.45,80366.42,663,678,180,5.36,N/A,Central,0.14,0.42,0.235,3,7932.17,9.87,Fair (650-699),2020
LN0004472,2024-12-31,SME Loan,2022-09-03,87681.81,44339.03,576,523,0,8.46,Manufacturing,West,0.13,0.39,0.4528,2,7829.92,17.6592,Very Poor (<600),2022
LN0004204,2024-12-31,SME Loan,2022-10-14,155238.94,76927.28,633,627,0,7.89,Manufacturing,South,0.065,0.195,0.5177,2,7765.92,10.0951,Poor (600-649),2022
LN0004763,2024-12-31,Auto Loan,2023-05-29,43670.91,25845.97,597,563,120,7.59,N/A,East,0.72,1.0,0.3004,3,7764.13,30.04,Very Poor (<600),2023
LN0004933,2024-12-31,SME Loan,2020-02-25,114947.58,33951.3,593,586,0,8.07,Construction,East,0.13,0.39,0.5855,2,7752.61,22.8345,Very Poor (<600),2020
LN0003806,2024-12-31,SME Loan,2022-01-04,104765.63,38431.33,601,596,0,7.81,Services,West,0.13,0.39,0.5151,2,7720.43,20.0889,Very Poor (<600),2022
LN0003322,2024-12-31,Mortgage,2021-12-17,181527.78,68511.91,546,539,30,5.78,N/A,East,0.14,0.42,0.2675,2,7697.31,11.235,Very Poor (<600),2021
LN0001592,2024-12-31,SME Loan,2021-04-14,170595.08,45480.8,617,596,0,8.66,Healthcare,South,0.13,0.39,0.4213,2,7472.81,16.4307,Very Poor (<600),2021
LN0000422,2024-12-31,Auto Loan,2023-11-01,28008.28,19830.74,518,497,90,7.7,N/A,Central,0.36,1.0,0.3727,2,7390.92,37.27,Very Poor (<600),2023
LN0000933,2024-12-31,SME Loan,2022-05-07,39376.4,16956.59,561,586,60,8.21,Manufacturing,South,0.52,1.0,0.4321,2,7326.94,43.21,Very Poor (<600),2022
LN0002915,2024-12-31,Mortgage,2023-12-24,89433.4,64037.19,639,618,60,4.7,N/A,West,0.14,0.42,0.2697,2,7253.75,11.3274,Poor (600-649),2023
LN0004459,2024-12-31,Personal Loan,2023-02-12,27203.42,16488.15,527,536,30,9.68,N/A,Central,0.24,0.72,0.6055,2,7188.17,43.596,Very Poor (<600),2023
LN0002157,2024-12-31,Mortgage,2021-11-09,259078.97,83943.47,676,696,180,5.3,N/A,South,0.14,0.42,0.2022,3,7128.82,8.4924,Fair (650-699),2021
LN0002330,2024-12-31,Mortgage,2021-07-29,164641.74,44901.13,603,635,120,4.86,N/A,North,0.28,0.84,0.1824,3,6879.57,15.3216,Poor (600-649),2021
LN0002848,2024-12-31,Mortgage,2022-06-23,199090.34,83789.04,644,662,120,5.35,N/A,South,0.14,0.42,0.1953,3,6872.88,8.2026,Fair (650-699),2022
LN0004991,2024-12-31,SME Loan,2021-12-06,99876.59,34840.99,608,582,0,8.58,Technology,West,0.13,0.39,0.5045,2,6855.14,19.6755,Very Poor (<600),2021
LN0001201,2024-12-31,Auto Loan,2023-11-16,47489.54,33676.78,560,528,30,7.72,N/A,West,0.18,0.54,0.3732,2,6786.81,20.1528,Very Poor (<600),2023
LN0001716,2024-12-31,SME Loan,2021-06-21,223126.38,62085.01,622,658,30,8.08,Technology,West,0.065,0.195,0.5553,2,6722.78,10.8283,Fair (650-699),2021
LN0002528,2024-12-31,SME Loan,2021-03-21,143347.09,38023.03,592,595,0,7.97,Manufacturing,West,0.13,0.39,0.4497,2,6668.59,17.5383,Very Poor (<600),2021
LN0004166,2024-12-31,Personal Loan,2023-05-12,20245.05,11603.13,607,635,120,9.68,N/A,North,0.48,1.0,0.5688,3,6599.86,56.88,Poor (600-649),2023
LN0001125,2024-12-31,Auto Loan,2023-12-24,37452.5,25911.11,598,587,90,7.51,N/A,South,0.36,1.0,0.2507,2,6495.92,25.07,Very Poor (<600),2023
LN0003402,2024-12-31,Mortgage,2022-03-11,134472.56,54267.18,672,666,180,5.08,N/A,South,0.14,0.42,0.2827,3,6443.36,11.8734,Fair (650-699),2022
LN0001699,2024-12-31,SME Loan,2023-05-04,107624.16,61791.98,635,637,0,8.06,Retail,South,0.065,0.195,0.5324,2,6415.12,10.3818,Poor (600-649),2023
LN0002040,2024-12-31,Mortgage,2020-11-20,222190.03,63326.45,654,617,90,4.67,N/A,North,0.14,0.42,0.2409,2,6407.24,10.1178,Poor (600-649),2020
LN0001578,2024-12-31,Auto Loan,2023-12-12,28723.33,19867.59,590,562,180,7.53,N/A,West,0.72,1.0,0.3193,3,6343.72,31.93,Very Poor (<600),2023
LN0001305,2024-12-31,Auto Loan,2022-10-13,48227.87,23364.98,591,614,120,7.02,N/A,Central,0.36,1.0,0.268,3,6261.81,26.8,Poor (600-649),2022
LN0000343,2024-12-31,Mortgage,2022-02-19,150471.55,60660.49,625,619,90,4.75,N/A,East,0.14,0.42,0.2439,2,6213.94,10.2438,Poor (600-649),2022
LN0002486,2024-12-31,SME Loan,2020-09-28,101844.12,29294.34,605,566,0,8.24,Construction,East,0.13,0.39,0.5411,2,6181.96,21.1029,Very Poor (<600),2020
LN0000962,2024-12-31,Auto Loan,2021-09-14,67359.06,20491.91,663,649,180,6.94,N/A,South,0.36,1.0,0.2956,3,6057.41,29.56,Poor (600-649),2021
LN0002637,2024-12-31,SME Loan,2023-01-17,105633.25,58205.14,579,630,0,8.08,Retail,North,0.065,0.195,0.5301,2,6016.64,10.337,Poor (600-649),2023
LN0000493,2024-12-31,Mortgage,2020-02-21,218094.72,56110.77,593,593,30,5.29,N/A,North,0.14,0.42,0.2496,2,5882.2,10.4832,Very Poor (<600),2020
LN0000793,2024-12-31,Personal Loan,2023-07-23,42241.73,29002.72,558,502,0,9.96,N/A,East,0.12,0.36,0.5617,2,5864.7,20.2212,Very Poor (<600),2023
LN0001913,2024-12-31,SME Loan,2023-09-09,46725.04,33210.47,589,575,0,8.53,Retail,South,0.13,0.39,0.4523,2,5858.23,17.6397,Very Poor (<600),2023
LN0004478,2024-12-31,Personal Loan,2022-10-16,55037.42,26539.33,575,577,0,9.88,N/A,West,0.12,0.36,0.5954,2,5688.55,21.4344,Very Poor (<600),2022
LN0001591,2024-12-31,Auto Loan,2023-09-21,79534.71,55983.88,591,580,0,7.6,N/A,North,0.09,0.27,0.3724,2,5629.07,10.0548,Very Poor (<600),2023
LN0001383,2024-12-31,SME Loan,2020-08-11,101116.98,28049.71,640,598,0,7.67,Manufacturing,North,0.13,0.39,0.5144,2,5627.22,20.0616,Very Poor (<600),2020
LN0004670,2024-12-31,Auto Loan,2022-09-29,52521.04,27010.88,586,601,60,7.25,N/A,East,0.18,0.54,0.3847,2,5611.19,20.7738,Poor (600-649),2022
LN0002625,2024-12-31,Personal Loan,2021-01-19,42366.28,11410.61,542,556,30,10.14,N/A,South,0.24,0.72,0.6797,2,5584.17,48.9384,Very Poor (<600),2021
LN0000163,2024-12-31,Auto Loan,2023-10-06,81794.98,54248.98,598,565,0,6.98,N/A,South,0.09,0.27,0.3804,2,5571.8,10.2708,Very Poor (<600),2023
LN0001793,2024-12-31,Personal Loan,2021-08-09,50442.93,14335.38,602,597,30,9.41,N/A,East,0.24,0.72,0.5343,2,5514.76,38.4696,Very Poor (<600),2021
LN0001816,2024-12-31,SME Loan,2021-10-31,71958.96,25615.07,522,535,0,8.42,Construction,East,0.13,0.39,0.552,2,5514.41,21.528,Very Poor (<600),2021
LN0002970,2024-12-31,Personal Loan,2020-04-02,29230.78,8469.86,574,543,90,9.87,N/A,North,0.48,1.0,0.651,2,5513.88,65.1,Very Poor (<600),2020
LN0004806,2024-12-31,Personal Loan,2023-07-20,14887.55,9856.15,520,595,60,10.45,N/A,East,0.48,1.0,0.5505,2,5425.81,55.05,Very Poor (<600),2023
LN0004718,2024-12-31,SME Loan,2022-11-13,46342.42,24000.04,617,561,0,8.5,Healthcare,West,0.13,0.39,0.5776,2,5406.35,22.5264,Very Poor (<600),2022
LN0002079,2024-12-31,SME Loan,2022-11-13,94368.6,52705.89,590,605,0,8.78,Retail,North,0.065,0.195,0.5192,2,5336.16,10.1244,Poor (600-649),2022
LN0002148,2024-12-31,Personal Loan,2022-06-29,23532.99,11390.17,546,552,30,10.37,N/A,North,0.24,0.72,0.6463,2,5300.26,46.5336,Very Poor (<600),2022
LN0003433,2024-12-31,Auto Loan,2023-12-26,21999.02,15055.22,579,563,90,7.22,N/A,North,0.36,1.0,0.35,2,5269.33,35.0,Very Poor (<600),2023
LN0003854,2024-12-31,Credit Card,2023-02-06,12509.75,6639.12,616,636,120,18.77,N/A,North,0.6,1.0,0.7869,3,5224.32,78.6899,Poor (600-649),2023
LN0001728,2024-12-31,SME Loan,2020-04-04,118484.42,33059.39,509,510,0,8.65,Construction,Central,0.13,0.39,0.4051,2,5223.02,15.7989,Very Poor (<600),2020
LN0002133,2024-12-31,Personal Loan,2023-07-09,17867.79,12009.99,583,592,30,10.29,N/A,Central,0.24,0.72,0.6034,2,5217.72,43.4448,Very Poor (<600),2023
LN0001441,2024-12-31,SME Loan,2020-03-02,182646.87,49710.77,639,666,30,8.04,Healthcare,East,0.065,0.195,0.5311,2,5148.27,10.3564,Fair (650-699),2020
LN0003732,2024-12-31,SME Loan,2022-02-11,114942.13,45092.21,615,615,0,8.47,Construction,East,0.065,0.195,0.5798,2,5098.17,11.3061,Poor (600-649),2022
LN0004878,2024-12-31,Auto Loan,2022-07-04,56498.75,25661.73,553,520,30,7.38,N/A,East,0.18,0.54,0.3668,2,5082.87,19.8072,Very Poor (<600),2022
LN0000781,2024-12-31,Auto Loan,2022-09-10,26128.53,12982.27,559,583,120,7.8,N/A,West,0.72,1.0,0.3832,3,4974.81,38.32,Very Poor (<600),2022
LN0000788,2024-12-31,Personal Loan,2023-10-07,28700.34,20549.91,577,570,0,9.41,N/A,East,0.12,0.36,0.6694,2,4952.2,24.0984,Very Poor (<600),2023
LN0000499,2024-12-31,SME Loan,2020-04-25,101734.49,30411.53,590,550,0,8.53,Retail,Central,0.13,0.39,0.4141,2,4911.43,16.1499,Very Poor (<600),2020
LN0003555,2024-12-31,Mortgage,2023-02-11,623342.17,348864.74,752,756,180,4.69,N/A,East,0.028,0.084,0.1674,3,4905.6,1.4062,Excellent (750+),2023
LN0002020,2024-12-31,Auto Loan,2022-05-14,38771.44,16360.65,562,493,90,7.19,N/A,West,0.36,1.0,0.2937,2,4805.12,29.37,Very Poor (<600),2022
LN0003627,2024-12-31,Mortgage,2021-07-23,202115.25,53886.82,643,659,180,4.85,N/A,North,0.14,0.42,0.208,3,4707.55,8.736,Fair (650-699),2021
LN0004260,2024-12-31,Personal Loan,2023-08-28,27614.59,19331.52,636,574,0,9.29,N/A,East,0.12,0.36,0.6635,2,4617.53,23.886,Very Poor (<600),2023
LN0003768,2024-12-31,Personal Loan,2023-11-24,27223.87,17996.06,555,557,0,10.45,N/A,Central,0.12,0.36,0.6893,2,4465.69,24.8148,Very Poor (<600),2023
LN0001252,2024-12-31,Personal Loan,2021-11-20,57026.23,18634.94,605,585,0,9.27,N/A,Central,0.12,0.36,0.6492,2,4355.21,23.3712,Very Poor (<600),2021
LN0002406,2024-12-31,Auto Loan,2023-03-18,25873.9,15641.44,606,574,120,7.42,N/A,South,0.72,1.0,0.2777,3,4343.63,27.77,Very Poor (<600),2023
LN0004583,2024-12-31,Auto Loan,2021-02-08,46065.75,12803.46,681,649,120,6.52,N/A,West,0.36,1.0,0.3343,3,4280.2,33.43,Poor (600-649),2021
LN0001585,2024-12-31,SME Loan,2022-11-24,35113.46,18814.88,563,574,0,8.07,Manufacturing,West,0.13,0.39,0.5778,2,4239.78,22.5342,Very Poor (<600),2022
LN0001757,2024-12-31,SME Loan,2020-08-20,83652.27,21944.6,598,584,0,8.39,Technology,East,0.13,0.39,0.4929,2,4218.43,19.2231,Very Poor (<600),2020
LN0000492,2024-12-31,Auto Loan,2023-05-10,20213.06,12951.46,513,528,60,8.13,N/A,West,0.36,1.0,0.3255,2,4215.7,32.55,Very Poor (<600),2023
LN0001619,2024-12-31,Personal Loan,2023-12-08,22002.24,17005.85,626,641,30,9.47,N/A,East,0.12,0.36,0.6843,2,4189.36,24.6348,Poor (600-649),2023
LN0003634,2024-12-31,Personal Loan,2022-04-03,45993.42,17723.69,513,513,0,10.59,N/A,West,0.12,0.36,0.6433,2,4104.59,23.1588,Very Poor (<600),2022
LN0003379,2024-12-31,Mortgage,2021-04-20,135626.74,37943.63,610,630,60,4.91,N/A,South,0.14,0.42,0.2552,2,4066.95,10.7184,Poor (600-649),2021
LN0000427,2024-12-31,Personal Loan,2023-01-02,29391.04,16918.41,539,550,0,10.0,N/A,North,0.12,0.36,0.6585,2,4010.68,23.706,Very Poor (<600),2023
LN0004463,2024-12-31,SME Loan,2022-04-07,40369.92,17432.48,636,552,0,7.94,Construction,West,0.13,0.39,0.583,2,3963.62,22.737,Very Poor (<600),2022
LN0001060,2024-12-31,Auto Loan,2022-10-20,21505.07,11793.26,540,549,60,7.99,N/A,West,0.36,1.0,0.3335,2,3933.05,33.35,Very Poor (<600),2022
LN0003243,2024-12-31,Personal Loan,2021-04-09,20190.26,5937.91,525,504,120,10.13,N/A,North,0.96,1.0,0.6552,3,3890.52,65.52,Very Poor (<600),2021
LN0003879,2024-12-31,Personal Loan,2023-05-24,53102.62,35608.42,685,645,0,9.15,N/A,North,0.06,0.18,0.5984,2,3835.45,10.7712,Poor (600-649),2023
LN0001229,2024-12-31,SME Loan,2022-07-28,77923.71,36171.98,602,613,0,8.25,Retail,West,0.065,0.195,0.5413,2,3818.08,10.5554,Poor (600-649),2022
LN0001617,2024-12-31,SME Loan,2020-11-25,59569.66,17406.31,732,687,90,7.93,Healthcare,East,0.13,0.39,0.5585,2,3791.36,21.7815,Fair (650-699),2020
LN0000519,2024-12-31,SME Loan,2023-06-05,29127.24,17526.31,652,595,0,8.25,Retail,South,0.13,0.39,0.551,2,3766.23,21.489,Very Poor (<600),2023
LN0002550,2024-12-31,Mortgage,2021-07-23,139213.83,37222.29,654,625,90,5.0,N/A,West,0.14,0.42,0.2409,2,3766.08,10.1178,Poor (600-649),2021
LN0000799,2024-12-31,Auto Loan,2023-07-05,25974.59,17794.34,445,426,30,7.61,N/A,West,0.18,0.54,0.3903,2,3750.37,21.0762,Very Poor (<600),2023
LN0000454,2024-12-31,Credit Card,2023-11-14,9667.59,6833.88,607,625,90,19.09,N/A,North,0.3,0.9,0.6034,2,3711.21,54.306,Poor (600-649),2023
